date,journal,url
1882-07-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k214128r
1883-01-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k214113h
1884-01-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k65296603
1884-07-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k214116n
1890-07-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k214791c
1894-01-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k65326621
1897-01-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k2148909
1913-01-01,Bulletin des lois de la République française,https://gallica.bnf.fr/ark:/12148/bpt6k220778g
1885-01-01,"Recueil général des lois et des arrêts : en matière civile, criminelle, commerciale et de droit public... / par J.-B. Sirey",https://gallica.bnf.fr/ark:/12148/bpt6k55460784
1886-01-01,"Recueil général des lois et des arrêts : en matière civile, criminelle, commerciale et de droit public... / par J.-B. Sirey",https://gallica.bnf.fr/ark:/12148/bpt6k5546086p
1900-01-01,"Recueil général des lois et des arrêts : en matière civile, criminelle, commerciale et de droit public... / par J.-B. Sirey",https://gallica.bnf.fr/ark:/12148/bpt6k57483981
1904-01-01,"Recueil général des lois et des arrêts : en matière civile, criminelle, commerciale et de droit public... / par J.-B. Sirey",https://gallica.bnf.fr/ark:/12148/bpt6k96686667
1889-01-01,Annuaire pour l'an ... publié par le Bureau des longitudes,https://gallica.bnf.fr/ark:/12148/bpt6k6582815f
1890-01-01,Annuaire pour l'an ... publié par le Bureau des longitudes,https://gallica.bnf.fr/ark:/12148/bpt6k6537360q
1880-01-01,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",https://gallica.bnf.fr/ark:/12148/bpt6k9822398p
1886-01-01,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",https://gallica.bnf.fr/ark:/12148/bpt6k98227789
1888-01-01,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",https://gallica.bnf.fr/ark:/12148/bpt6k6557465p
1886-01-01,"Journal du Palais : contenant les jugemens du Tribunal de cassation, et des tribunaux d'appel de Paris et des départemens, dans les principales causes et questions que les lois nouvelles rendent douteuses et difficiles",https://gallica.bnf.fr/ark:/12148/bpt6k5529630r
1883-01-01,Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie,https://gallica.bnf.fr/ark:/12148/bpt6k86762j
1884-01-01,Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie,https://gallica.bnf.fr/ark:/12148/bpt6k86765k
1887-10-01,Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie,https://gallica.bnf.fr/ark:/12148/bpt6k86778x
1888-10-01,Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie,https://gallica.bnf.fr/ark:/12148/bpt6k867825
1889-01-01,Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie,https://gallica.bnf.fr/ark:/12148/bpt6k86783h
1900-11-01,Bibliographie de la France : ou Journal général de l'imprimerie et de la librairie,https://gallica.bnf.fr/ark:/12148/bpt6k86831j
1875-05-28,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k459368h
1875-09-12,Journal des débats politiques et littéraires,https://gallica.bnf.fr/ark:/12148/bpt6k4594751
